,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
717,4th Ward - GR - 09GR,1997,244,232,476,136,621,757,0,1,1,1,1,2,0,1,1,1,2,3,15,5,20,0,0,0,0,0,0,2,0,2,1262,Poweshiek 4th Ward - GR - 09GR
718,JUPS,1305,335,489,824,28,187,215,0,1,1,0,0,0,1,0,1,1,3,4,1,4,5,0,0,0,1,1,2,0,1,1,1053,Poweshiek JUPS
719,Montezuma - 11MO,1011,266,262,528,40,137,177,0,0,0,2,0,2,1,0,1,0,0,0,3,4,7,1,1,2,1,0,1,0,0,0,718,Poweshiek Montezuma - 11MO
720,Schaller,0,292,166,458,60,120,180,0,0,0,1,1,2,0,0,0,0,0,0,7,1,8,0,0,0,0,1,1,1,0,1,650,Sac Schaller
721,Nemaha,0,65,74,139,27,24,51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,193,Sac Nemaha
722,Early,0,200,111,311,54,52,106,0,1,1,1,0,1,1,0,1,0,0,0,2,1,3,0,0,0,1,0,1,1,0,1,425,Sac Early
723,Sac City,0,376,456,832,106,313,419,0,0,0,1,2,3,0,1,1,0,1,1,11,3,14,0,1,1,0,2,2,1,0,1,1274,Sac Sac City
724,Lytton,0,119,90,209,11,53,64,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,277,Sac Lytton
725,Odebolt,0,420,177,597,47,90,137,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,2,1,3,1,2,3,744,Sac Odebolt
726,Lake View,0,456,336,792,86,176,262,0,0,0,0,1,1,0,0,0,2,1,3,4,1,5,0,0,0,0,2,2,1,0,1,1066,Sac Lake View
727,Auburn,0,187,40,227,17,43,60,0,0,0,1,0,1,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,293,Sac Auburn
728,Wall Lake,0,346,150,496,33,77,110,0,1,1,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,1,0,1,0,0,0,613,Sac Wall Lake
729,AG- Allen's Grove,0,161,93,254,35,81,116,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,378,Scott AG- Allen's Grove
730,B11- Bettendorf,0,288,750,1038,140,972,1112,0,0,0,0,0,0,0,0,0,1,0,1,12,17,29,0,0,0,0,1,1,1,7,8,2189,Scott B11- Bettendorf
731,B12- Bettendorf,0,397,558,955,159,789,948,1,1,2,1,1,2,0,0,0,2,1,3,13,11,24,0,0,0,2,8,10,1,5,6,1950,Scott B12- Bettendorf
732,B21- Bettendorf,0,201,305,506,139,519,658,0,0,0,1,1,2,0,0,0,2,3,5,12,7,19,0,0,0,1,1,2,1,5,6,1198,Scott B21- Bettendorf
733,B22- Bettendorf,0,409,634,1043,173,843,1016,1,0,1,0,2,2,0,0,0,4,8,12,8,19,27,0,0,0,2,1,3,2,3,5,2109,Scott B22- Bettendorf
734,B23- Bettendorf,0,74,143,217,34,147,181,0,0,0,1,0,1,1,0,1,0,1,1,2,4,6,0,0,0,0,1,1,0,0,0,408,Scott B23- Bettendorf
735,B31- Bettendorf,0,317,579,896,143,842,985,0,1,1,0,2,2,0,0,0,2,6,8,6,16,22,0,0,0,0,2,2,2,4,6,1922,Scott B31- Bettendorf
736,B32- Bettendorf,0,278,579,857,109,931,1040,1,1,2,0,5,5,0,1,1,0,5,5,10,13,23,0,0,0,0,1,1,0,5,5,1939,Scott B32- Bettendorf
737,B41- Bettendorf,0,349,956,1305,106,1088,1194,0,0,0,0,1,1,0,0,0,1,1,2,7,15,22,0,0,0,1,1,2,2,5,7,2533,Scott B41- Bettendorf
738,B42- Bettendorf,0,372,611,983,163,1011,1174,0,1,1,0,2,2,0,0,0,2,0,2,14,15,29,0,0,0,3,1,4,2,7,9,2204,Scott B42- Bettendorf
739,B51- Bettendorf,0,431,823,1254,196,1018,1214,0,1,1,1,1,2,0,1,1,4,1,5,15,11,26,0,0,0,1,2,3,1,2,3,2509,Scott B51- Bettendorf
740,B52- Bettendorf,0,559,1567,2126,194,1711,1905,0,1,1,0,2,2,0,0,0,0,0,0,11,22,33,0,0,0,1,2,3,5,13,18,4088,Scott B52- Bettendorf
741,BG- Blue Grass,0,586,447,1033,151,458,609,0,1,1,0,2,2,1,0,1,0,0,0,5,9,14,0,0,0,2,0,2,3,4,7,1669,Scott BG- Blue Grass
742,BF- Buffalo City,0,338,73,411,85,126,211,1,0,1,0,0,0,0,0,0,3,0,3,6,2,8,0,0,0,0,0,0,1,0,1,635,Scott BF- Buffalo City
743,BU- Buffalo,0,667,575,1242,169,556,725,0,0,0,1,1,2,0,0,0,2,0,2,12,4,16,0,1,1,1,1,2,1,2,3,1993,Scott BU- Buffalo
744,D11- Davenport,0,195,457,652,94,675,769,1,0,1,1,0,1,0,1,1,2,2,4,2,8,10,0,0,0,5,1,6,0,4,4,1448,Scott D11- Davenport
745,D12- Davenport,0,275,305,580,183,633,816,3,1,4,0,4,4,0,0,0,1,3,4,7,13,20,0,0,0,2,0,2,1,0,1,1431,Scott D12- Davenport
746,D13- Davenport,0,417,480,897,181,716,897,0,0,0,1,2,3,0,0,0,1,1,2,15,6,21,0,1,1,1,0,1,2,2,4,1826,Scott D13- Davenport
747,D14- Davenport,0,272,272,544,166,539,705,1,1,2,0,1,1,0,1,1,5,1,6,18,6,24,0,0,0,3,2,5,0,0,0,1288,Scott D14- Davenport
748,D21- Davenport,0,369,373,742,186,647,833,1,0,1,0,2,2,0,1,1,1,2,3,12,16,28,0,0,0,3,1,4,6,4,10,1624,Scott D21- Davenport
749,D22- Davenport,0,219,296,515,180,522,702,0,0,0,0,0,0,0,2,2,1,3,4,7,5,12,0,0,0,2,1,3,0,1,1,1239,Scott D22- Davenport
750,D23- Davenport,0,305,342,647,130,479,609,0,1,1,0,1,1,1,1,2,1,3,4,6,8,14,0,3,3,4,3,7,5,0,5,1293,Scott D23- Davenport
751,D24- Davenport,0,243,375,618,165,682,847,0,0,0,0,4,4,0,1,1,1,6,7,9,8,17,1,0,1,3,0,3,1,4,5,1503,Scott D24- Davenport
752,D31- Davenport,0,271,206,477,204,485,689,0,0,0,0,2,2,1,0,1,5,3,8,12,5,17,0,0,0,1,2,3,3,2,5,1202,Scott D31- Davenport
